2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.37ms
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.37, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.40ms
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.4, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Income $15,000 below minimum threshold ($20,000)']
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Loan amount $50,000 exceeds maximum ($40,000)']
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Interest rate 2.0% outside valid range (5-31%)']
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=450, prob=0.7, risk=High, response_time=1.33ms
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 450, "default_probability": 0.7, "risk_level": "High", "response_time_ms": 1.33, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 6.0}}
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: unique_test_id_123
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant unique_test_id_123: score=557, prob=0.08, risk=Medium, response_time=1.27ms
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "unique_test_id_123", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.27, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.23ms
2026-01-18 08:47:58 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.23, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.monitoring.logger:setup_logger:56 - Logger initialized
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:<module>:31 - Credit scoring model loaded successfully
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=33.60ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 33.6, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.45ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.45, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.51ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.51, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
